x	Theye_r2	Theye_r1	DoldMeke_r1	DoldMeke_r2
0.218912	549.087	1511.72	1178.77	316.228
0.238264	429.499	1280.69	1000	252.965
0.257866	341.504	1097.02	848.343	205.393
0.259326	335.957	1084.96	839.193	202.359
0.298648	223.092	822.936	639.915	144.194
0.300339	219.469	813.887	633.117	142.253
0.338154	155.605	645.244	505.92	100
0.378587	112.146	517.232	409.492	74.7014
0.398326	96.7779	468.24	369.851	65.5129
0.440944	72.0711	383.737	301.711	50.2957
0.47722	57.3052	328.705	258.979	40.9492
0.516481	45.5646	281.566	222.3	33.6968
0.555824	36.8275	243.868	195.351	28.1177
0.598164	29.7657	211.217	171.67	23.2312
0.636499	24.8591	187.029	149.934	19.766
0.673478	21.1041	167.452	132.571	17.115
0.758274	14.9629	132.754	108.339	12.6486
0.762568	14.7199	131.295	107.303	12.4783
0.839405	11.143	108.796	88.9159	9.91004
0.878197	9.77474	99.5862	80.94	8.89159
0.918781	8.57452	91.1557	73.6795	7.81371
0.961241	7.52167	83.4389	67.0704	6.86649
1	6.70704	77.2245	61.7755	6.13236
1.10076	5.07724	63.9915	50.592	4.6598
1.20485	3.90694	49.4171	41.9227	3.59851
1.30397	3.13761	42.9193	35.5648	2.87017
1.3954	2.59996	34.7389	30.8884	2.36442
1.4033	2.55955	34.3332	30.5277	2.32653
1.49324	2.11446	30.1711	26.827	1.94778
1.59794	1.7167	24.821	23.2995	1.60456
1.60699	1.69191	24.4205	23.0274	1.57885
1.70035	1.46288	19.307	20.475	1.34335
1.79913	1.26486	15.2642	18.2056	1.14297
1.80932	1.27813	14.9097	17.9929	1.12466
1.90365	1.40408	10.2377	16.1876	0.972484
2.20472	1.84207	8.48343	11.927	0.638976
2.30661	2.223	6.55129	10.8571	0.561516
2.39962	2.6204	4.29193	10	0.501482
2.4132	2.6827	4.03353	9.88321	0.493446
2.59703	4.431	1.79929	8.48343	0.399982
2.61174	4.60538	1.73407	8.38435	0.393573
2.70175	5.18884	1.3895	7.81371	0.357218
2.81069	5.96362	1.23548	7.19686	0.319026
2.90755	6.32442	1.20679	6.70704	0.289557
3.00776	6.70704	1.20679	6.25055	0.262811
3.11141	6.70704	1.09854	5.82514	0.238534
3.1825	6.70704	1	5.55774	0.223609
3.21864	6.70704	0.928817	5.42868	0.216501
3.31082	6.70704	0.772245	5.11898	0.199702
3.42492	6.70704	0.530261	4.77058	0.181255
3.48344	6.70704	0.409492	4.60538	0.172681
3.60349	6.70704	0.308884	4.29193	0.15673
3.68582	6.8343	0.238534	4.09492	0.146924
3.81284	7.02973	0.20717	3.81621	0.133352
3.83443	7.04811	0.202359	3.77164	0.131215
3.89995	7.10353	0.250011	3.64103	0.125008
4.01164	7.19686	0.331442	3.43332	0.115309
4.10328	7.19686	0.419227	3.27572	0.108094
4.22079	7.19686	0.530261	3.08884	0.0997067
4.29291	6.91274	0.596362	2.98188	0.0949901
4.39098	6.55129	0.680226	2.845	0.0890466
4.41585	6.46633	0.702973	2.81177	0.0876198
4.54231	6.05777	0.754312	2.65136	0.0808212
4.61992	5.82514	0.772245	2.55955	0.076998
4.77914	5.42868	0.8094	2.38534	0.0698856
4.83342	5.30261	0.72819	2.32995	0.0676639
4.88832	5.17947	0.655129	2.27585	0.0655129
