
TEST SETUP
GENESYS 10S v1.120 2L3G040002

Scanning                   6:40am 5Dec13
Test Name               [Default][Saved]
Measurement Mode              Absorbance
Start Wavelength                   200nm
Stop Wavelength                   1000nm
Scan Speed                          Fast
ID# (0=OFF)                          Off
Auto Print                            On


Wavelength   Abs          
----------  ------        
       200   1.786        
       203   1.945        
       206   2.039        
       209   2.101        
       212   2.124        
       215   2.009        
       218   1.734        
       221   1.432        
       224   1.175        
       227   1.049        
       230   0.798        
       233   0.619        
       236   0.624        
       239   0.614        
       242   0.636        
       245   0.524        
       248   0.493        
       251   0.376        
       254   0.357        
       257   0.344        
       260   0.312        
       263   0.208        
       266   0.201        
       269   0.172        
       272   0.151        
       275   0.114        
       278   0.104        
       281   0.098        
       284   0.081        
       287   0.071        
       290   0.069        
       293   0.063        
       296   0.064        
       299   0.047        
       302   0.046        
       305   0.046        
       308   0.050        
       311   0.043        
       314   0.043        
       317   0.037        
       320   0.040        
       323   0.049        
       326   0.040        
       329   0.038        
       332   0.044        
       335   0.039        
       338   0.040        
       341   0.038        
       344   0.042        
       347   0.033        
       350   0.037        
       353   0.040        
       356   0.042        
       359   0.038        
       362   0.038        
       365   0.023        
       368   0.031        
       371   0.035        
       374   0.036        
       377   0.040        
       380   0.029        
       383   0.036        
       386   0.035        
       389   0.033        
       392   0.035        
       395   0.030        
       398   0.030        
       401   0.031        
       404   0.033        
       407   0.028        
       410   0.032        
       413   0.031        
       416   0.036        
       419   0.039        
       422   0.034        
       425   0.029        
       428   0.024        
       431   0.027        
       434   0.028        
       437   0.028        
       440   0.030        
       443   0.025        
       446   0.029        
       449   0.023        
       452   0.023        
       455   0.022        
       458   0.030        
       461   0.023        
       464   0.021        
       467   0.023        
       470   0.023        
       473   0.025        
       476   0.027        
       479   0.028        
       482   0.042        
       485   0.026        
       488   0.022        
       491   0.026        
       494   0.020        
       497   0.033        
       500   0.033        
       503   0.040        
       506   0.045        
       509   0.051        
       512   0.053        
       515   0.058        
       518   0.065        
       521   0.060        
       524   0.075        
       527   0.084        
       530   0.064        
       533   0.071        
       536   0.067        
       539   0.078        
       542   0.076        
       545   0.064        
       548   0.066        
       551   0.068        
       554   0.066        
       557   0.064        
       560   0.064        
       563   0.061        
       566   0.060        
       569   0.054        
       572   0.053        
       575   0.045        
       578   0.039        
       581   0.039        
       584   0.038        
       587   0.036        
       590   0.033        
       593   0.031        
       596   0.030        
       599   0.021        
       602   0.029        
       605   0.022        
       608   0.021        
       611   0.017        
       614   0.018        
       617   0.020        
       620   0.019        
       623   0.021        
       626   0.023        
       629   0.018        
       632   0.021        
       635   0.021        
       638   0.021        
       641   0.023        
       644   0.025        
       647   0.026        
       650   0.027        
       653   0.028        
       656   0.030        
       659   0.032        
       662   0.029        
       665   0.036        
       668   0.040        
       671   0.037        
       674   0.036        
       677   0.035        
       680   0.035        
       683   0.030        
       686   0.033        
       689   0.035        
       692   0.035        
       695   0.039        
       698   0.045        
       701   0.033        
       704   0.037        
       707   0.042        
       710   0.044        
       713   0.045        
       716   0.045        
       719   0.044        
       722   0.048        
       725   0.051        
       728   0.053        
       731   0.054        
       734   0.054        
       737   0.056        
       740   0.057        
       743   0.057        
       746   0.060        
       749   0.062        
       752   0.062        
       755   0.063        
       758   0.066        
       761   0.068        
       764   0.069        
       767   0.059        
       770   0.065        
       773   0.066        
       776   0.069        
       779   0.070        
       782   0.068        
       785   0.071        
       788   0.074        
       791   0.069        
       794   0.072        
       797   0.074        
       800   0.071        
       803   0.073        
       806   0.074        
       809   0.071        
       812   0.073        
       815   0.075        
       818   0.079        
       821   0.112        
       824   0.070        
       827   0.070        
       830   0.057        
       833   0.092        
       836   0.065        
       839   0.078        
       842   0.072        
       845   0.074        
       848   0.077        
       851   0.078        
       854   0.078        
       857   0.079        
       860   0.078        
       863   0.080        
       866   0.077        
       869   0.079        
       872   0.079        
       875   0.078        
       878   0.085        
       881   0.112        
       884   0.048        
       887   0.062        
       890   0.070        
       893   0.087        
       896   0.074        
       899   0.056        
       902   0.087        
       905   0.075        
       908   0.045        
       911   0.069        
       914   0.098        
       917   0.068        
       920   0.042        
       923   0.059        
       926   0.064        
       929   0.070        
       932   0.069        
       935   0.080        
       938   0.083        
       941   0.068        
       944   0.084        
       947   0.082        
       950   0.101        
       953   0.080        
       956   0.096        
       959   0.107        
       962   0.110        
       965   0.115        
       968   0.122        
       971   0.111        
       974   0.106        
       977   0.130        
       980   0.120        
       983   0.058        
       986   0.097        
       989   0.108        
       992   0.128        
       995   0.055        
       998   0.077        
